roi_ind,important,r,p,r_abs,r_sign
0,0.0,-0.11,0.7381813959991121,0.11,neg
1,0.0,0.12,0.7067290823396065,0.12,pos
2,0.0,-0.33,0.29566281102571695,0.33,neg
3,0.0,0.2,0.5373335222703922,0.2,pos
4,0.0,-0.62,0.030685926277994633,0.62,neg
5,0.0,-0.39,0.21590641419130854,0.39,neg
6,0.0,0.03,0.9232202361659748,0.03,pos
7,0.0,-0.49,0.10222996151647407,0.49,neg
8,0.0,-0.11,0.7416962818715643,0.11,neg
9,0.0,0.11,0.7252449999512285,0.11,pos
10,0.0,-0.48,0.11670723110532986,0.48,neg
11,0.0,0.11,0.7282946184680198,0.11,pos
12,0.0,-0.32,0.3108990397505,0.32,neg
13,0.0,-0.41,0.1901598210967458,0.41,neg
14,0.0,0.08,0.7996625988220878,0.08,pos
15,0.0,-0.43,0.16750100262236126,0.43,neg
16,0.0,-0.45,0.14082171159495993,0.45,neg
17,0.0,0.2,0.5287723480026076,0.2,pos
18,0.0,-0.43,0.16368926739127612,0.43,neg
19,0.0,-0.53,0.0749804032392769,0.53,neg
20,0.0,-0.12,0.7034268436406961,0.12,neg
21,0.0,-0.5,0.0957073959806268,0.5,neg
22,0.0,-0.51,0.08890359157323857,0.51,neg
23,0.0,-0.4,0.19576050392768451,0.4,neg
24,0.0,-0.26,0.41732377003329846,0.26,neg
25,0.0,-0.2,0.5236273087762507,0.2,neg
26,0.0,-0.26,0.41015232454778894,0.26,neg
27,0.0,-0.23,0.46295712398346617,0.23,neg
28,0.0,-0.4,0.19166697079351183,0.4,neg
29,0.0,-0.11,0.7300474173567262,0.11,neg
30,0.0,-0.1,0.7580415316882854,0.1,neg
31,0.0,-0.41,0.1854341386918145,0.41,neg
32,0.0,0.0,0.9937563696555419,0.0,pos
33,0.0,-0.4,0.20108374878318927,0.4,neg
34,0.0,-0.39,0.2162440701424628,0.39,neg
35,0.0,-0.57,0.051540145942754946,0.57,neg
36,0.0,-0.08,0.8005994250496183,0.08,neg
37,0.0,-0.28,0.3782630300610848,0.28,neg
38,0.0,-0.13,0.6878074243566973,0.13,neg
39,0.0,-0.21,0.5204019549831362,0.21,neg
40,0.0,-0.23,0.4729542229733646,0.23,neg
41,0.0,-0.26,0.4057059726626796,0.26,neg
42,0.0,-0.14,0.6550978845531331,0.14,neg
43,0.0,0.25,0.4403437605366586,0.25,pos
44,0.0,0.31,0.3325903598028345,0.31,pos
45,0.0,0.25,0.43425651812674476,0.25,pos
46,0.0,-0.2,0.531878556236427,0.2,neg
47,0.0,0.3,0.33920089050911034,0.3,pos
48,0.0,0.1,0.7530017052219409,0.1,pos
49,0.0,0.15,0.6501216546090195,0.15,pos
50,1.0,0.4,0.1920146353152534,0.4,pos
51,0.0,0.1,0.7570654634808947,0.1,pos
52,0.0,-0.38,0.22880689284928776,0.38,neg
53,0.0,-0.29,0.35502201404970035,0.29,neg
54,0.0,-0.21,0.5111721230555428,0.21,neg
55,0.0,-0.26,0.4183757377640339,0.26,neg
56,0.0,-0.43,0.16682698404312385,0.43,neg
57,0.0,0.01,0.9803158622158256,0.01,pos
58,0.0,-0.57,0.054311823307156684,0.57,neg
59,0.0,-0.22,0.4928110616731719,0.22,neg
60,1.0,0.04,0.897826914077698,0.04,pos
61,0.0,-0.05,0.8772070966015222,0.05,neg
62,0.0,-0.22,0.48299040016388284,0.22,neg
63,0.0,-0.14,0.6744287017420877,0.14,neg
64,0.0,0.09,0.7904226573731868,0.09,pos
65,0.0,0.33,0.2950895988542339,0.33,pos
66,0.0,0.0,0.9957835634255635,0.0,pos
67,0.0,0.18,0.5650749517662321,0.18,pos
68,0.0,0.26,0.40630954088675414,0.26,pos
69,0.0,-0.18,0.5735359352905806,0.18,neg
70,0.0,-0.02,0.9457487922230071,0.02,neg
71,0.0,-0.18,0.5747971149289408,0.18,neg
72,0.0,-0.21,0.5100430695212733,0.21,neg
73,0.0,-0.47,0.12750331115368313,0.47,neg
74,0.0,-0.07,0.8199926821248904,0.07,neg
75,0.0,-0.34,0.2814300626755439,0.34,neg
76,0.0,-0.42,0.17163026075680743,0.42,neg
77,1.0,-0.5,0.09786130959383926,0.5,neg
78,0.0,-0.17,0.5962179307156213,0.17,neg
79,0.0,-0.15,0.6408298502226552,0.15,neg
80,0.0,-0.15,0.651507463988098,0.15,neg
81,0.0,-0.45,0.14350398899050568,0.45,neg
82,0.0,0.03,0.9249648737887896,0.03,pos
83,0.0,-0.24,0.4491409438186854,0.24,neg
84,0.0,-0.08,0.8154568868583384,0.08,neg
85,0.0,-0.15,0.6429864790167051,0.15,neg
86,0.0,-0.15,0.6509652501168494,0.15,neg
87,0.0,0.02,0.9517769197183917,0.02,pos
88,0.0,0.03,0.91705315567654,0.03,pos
89,0.0,0.23,0.4735712236432995,0.23,pos
90,0.0,-0.01,0.9713913017108269,0.01,neg
91,0.0,-0.17,0.5982212711240831,0.17,neg
92,0.0,-0.14,0.6643501991171216,0.14,neg
93,0.0,0.02,0.9617666405606561,0.02,pos
94,0.0,0.06,0.8509534472358093,0.06,pos
95,0.0,-0.07,0.829130666874919,0.07,neg
96,0.0,-0.29,0.3683238139767091,0.29,neg
97,0.0,-0.31,0.3262605093538193,0.31,neg
98,0.0,-0.44,0.15039091685196762,0.44,neg
99,0.0,-0.63,0.029395027942823854,0.63,neg
100,0.0,0.09,0.7925458879459868,0.09,pos
101,0.0,-0.33,0.299162302729505,0.33,neg
102,0.0,-0.19,0.5538412773216755,0.19,neg
103,0.0,0.3,0.3458994368378226,0.3,pos
104,0.0,-0.14,0.6531113268917502,0.14,neg
105,0.0,0.03,0.9201468584981085,0.03,pos
106,0.0,0.36,0.2529720965373294,0.36,pos
107,0.0,-0.1,0.7491732811183202,0.1,neg
108,0.0,-0.77,0.0031276762924179555,0.77,neg
109,0.0,-0.0,0.9991495474347457,0.0,pos
110,0.0,-0.05,0.8801288920156773,0.05,neg
111,0.0,0.46,0.1346068076339104,0.46,pos
112,0.0,-0.49,0.10261991526305941,0.49,neg
113,0.0,0.54,0.06968958921484322,0.54,pos
114,0.0,0.49,0.10709284482546051,0.49,pos
115,0.0,-0.46,0.12795841011472378,0.46,neg
116,0.0,0.02,0.9416620435452399,0.02,pos
117,0.0,-0.09,0.7704484177348591,0.09,neg
