roi_ind,r,p
0,0.3,0.3443546107344029
1,-0.2,0.5343227337395572
2,0.07,0.8303487821092773
3,-0.29,0.36751628851958
4,-0.31,0.3328889904378519
5,0.12,0.7021626705885726
6,-0.51,0.09347892184021497
7,0.44,0.14949610978036101
8,-0.3,0.33768580266277254
9,-0.01,0.9861072710349225
10,0.03,0.9359190064127708
11,-0.2,0.5266587050777795
12,-0.23,0.4792104359184654
13,0.27,0.393022110421055
14,-0.23,0.4817747775848267
15,-0.12,0.7099731879961272
16,0.47,0.12124815292951496
17,-0.39,0.21037910224057657
18,0.22,0.4831607369829308
19,0.32,0.3115324646807595
20,0.31,0.3322425033871838
21,-0.1,0.7550116773546075
22,0.07,0.8355807306893984
23,0.06,0.8417686055297918
24,-0.09,0.7901383054900695
25,-0.09,0.7871051080874635
26,0.05,0.8707446385891106
27,-0.05,0.8765355510191263
28,0.06,0.8570944476076238
29,-0.2,0.5362266374403181
30,0.08,0.8155317062125398
31,-0.14,0.6693231075464361
32,-0.17,0.5893969050778676
33,-0.01,0.9692223833091761
34,-0.1,0.7593857720491783
35,-0.02,0.9392222543972552
36,0.08,0.8123247258328585
37,-0.02,0.9493926078829692
38,0.14,0.6654356694269483
39,-0.09,0.7779530688332671
40,-0.03,0.936760013445009
41,-0.07,0.8386579773915684
42,0.19,0.5635390537444385
43,0.21,0.5194164568240195
44,0.04,0.8940305080638522
45,0.23,0.4778922669856902
46,-0.18,0.5782508743744575
47,0.28,0.3771197257763383
48,-0.05,0.8894425107817754
49,0.05,0.8665641112828668
50,-0.02,0.9600407055576317
51,-0.05,0.8687570904708295
52,0.14,0.666086277921329
53,0.0,0.988204918867126
54,0.3,0.35075983357354096
55,0.01,0.9859116559266311
56,0.29,0.3637577419640599
57,-0.1,0.7506592301700586
58,0.14,0.6551949726908057
59,0.05,0.8779465622024765
60,-0.24,0.4620956580156076
61,-0.58,0.04942446420995066
62,-0.13,0.6971577664405294
63,0.42,0.16871730992688416
64,-0.18,0.5728026329078826
65,-0.29,0.35625701135045235
66,-0.3,0.3505122216316877
67,-0.43,0.1662444560249667
68,-0.33,0.292603600176877
69,-0.31,0.32409965180134115
70,-0.26,0.4167718264883185
71,-0.28,0.370643199457023
72,-0.18,0.5849746227903947
73,-0.2,0.5403982331896129
74,-0.22,0.4975664945841774
