,movie,seed,fold,accuracy,balanced_accuracy,roc_auc
0,two_men,0,1,0.8888888888888888,0.8875,0.8375
1,two_men,0,2,0.6111111111111112,0.6,0.8
2,two_men,0,3,0.8888888888888888,0.875,0.9444444444444445
3,two_men,0,4,0.5294117647058824,0.5571428571428572,0.6857142857142858
4,two_men,0,5,0.6470588235294118,0.5961538461538461,0.5769230769230769
5,two_men,0,6,0.631578947368421,0.6214285714285714,0.6428571428571429
6,two_men,0,7,0.8333333333333334,0.8333333333333333,0.8888888888888888
7,two_men,0,8,0.7222222222222222,0.6666666666666667,0.7222222222222222
8,two_men,0,9,0.8888888888888888,0.9,0.8625
9,two_men,0,10,0.7647058823529411,0.6730769230769231,0.5384615384615384
10,two_men,1,1,0.8235294117647058,0.7878787878787878,0.7575757575757576
11,two_men,1,2,0.7777777777777778,0.7662337662337663,0.8701298701298701
12,two_men,1,3,0.7222222222222222,0.725,0.7875
13,two_men,1,4,0.6470588235294118,0.6826923076923077,0.7692307692307693
14,two_men,1,5,0.55,0.5625,0.6875
15,two_men,1,6,0.7222222222222222,0.75,0.6666666666666666
16,two_men,1,7,0.7222222222222222,0.6666666666666667,0.7638888888888888
17,two_men,1,8,0.6666666666666666,0.6875,0.825
18,two_men,1,9,0.7647058823529411,0.7357142857142858,0.7571428571428571
19,two_men,1,10,0.5294117647058824,0.6057692307692308,0.6538461538461539
20,two_men,2,1,0.8888888888888888,0.8392857142857143,0.7857142857142857
21,two_men,2,2,0.6666666666666666,0.65,0.7
22,two_men,2,3,0.7222222222222222,0.7375,0.8
23,two_men,2,4,0.6875,0.6875,0.828125
24,two_men,2,5,0.6111111111111112,0.5833333333333333,0.5277777777777778
25,two_men,2,6,0.6666666666666666,0.7076923076923077,0.8153846153846154
26,two_men,2,7,0.5882352941176471,0.6439393939393939,0.696969696969697
27,two_men,2,8,0.6111111111111112,0.5714285714285714,0.6071428571428571
28,two_men,2,9,0.6666666666666666,0.6666666666666666,0.7777777777777778
29,two_men,2,10,0.7368421052631579,0.7215909090909092,0.7159090909090908
30,two_men,3,1,0.7647058823529411,0.7571428571428571,0.7857142857142857
31,two_men,3,2,0.7222222222222222,0.725,0.9125
32,two_men,3,3,0.7222222222222222,0.7125,0.8125
33,two_men,3,4,0.7058823529411765,0.6944444444444444,0.8194444444444444
