,movie,seed,fold,accuracy,balanced_accuracy,roc_auc
0,run1,0,1,0.7777777777777778,0.775,0.8125
1,run1,0,2,0.7777777777777778,0.75,0.7
2,run1,0,3,0.5555555555555556,0.4583333333333333,0.6944444444444445
3,run1,0,4,0.7647058823529411,0.8,0.8142857142857143
4,run1,0,5,0.7647058823529411,0.7596153846153846,0.7884615384615384
5,run1,0,6,0.631578947368421,0.5571428571428572,0.48571428571428577
6,run1,0,7,0.7777777777777778,0.7777777777777777,0.8518518518518519
7,run1,0,8,0.8333333333333334,0.8333333333333334,0.9027777777777778
8,run1,0,9,0.6666666666666666,0.7,0.9375
9,run1,0,10,0.7058823529411765,0.5480769230769231,0.7884615384615383
10,run1,1,1,0.6470588235294118,0.6136363636363636,0.712121212121212
11,run1,1,2,0.8333333333333334,0.7857142857142857,0.7922077922077921
12,run1,1,3,0.7777777777777778,0.7625,0.775
13,run1,1,4,0.7058823529411765,0.8076923076923077,0.8653846153846154
14,run1,1,5,0.6,0.625,0.7083333333333334
15,run1,1,6,0.6666666666666666,0.625,0.7083333333333334
16,run1,1,7,0.7222222222222222,0.6666666666666667,0.7222222222222222
17,run1,1,8,0.9444444444444444,0.95,0.975
18,run1,1,9,0.8823529411764706,0.8571428571428572,0.8714285714285714
19,run1,1,10,0.7058823529411765,0.6346153846153846,0.8076923076923077
20,run1,2,1,0.8333333333333334,0.7142857142857143,0.7857142857142857
21,run1,2,2,0.7777777777777778,0.775,0.8375
22,run1,2,3,0.6111111111111112,0.625,0.65
23,run1,2,4,0.8125,0.8125,0.953125
24,run1,2,5,0.7222222222222222,0.7083333333333333,0.638888888888889
25,run1,2,6,0.7777777777777778,0.7846153846153847,0.8923076923076924
26,run1,2,7,0.47058823529411764,0.5151515151515151,0.5454545454545455
27,run1,2,8,0.7222222222222222,0.8214285714285714,0.9285714285714286
28,run1,2,9,0.7777777777777778,0.7083333333333333,0.8055555555555556
29,run1,2,10,0.7894736842105263,0.7840909090909092,0.7840909090909091
30,run1,3,1,0.9411764705882353,0.9285714285714286,0.9857142857142858
31,run1,3,2,0.7222222222222222,0.6875,0.7875000000000001
32,run1,3,3,0.8333333333333334,0.8125,0.9
33,run1,3,4,0.7647058823529411,0.75,0.7777777777777778
34,run1,3,5,0.55,0.55,0.5499999999999999
35,run1,3,6,0.8333333333333334,0.7142857142857143,0.6071428571428572
36,run1,3,7,0.8235294117647058,0.7583333333333333,0.8833333333333334
37,run1,3,8,0.8333333333333334,0.875,0.8611111111111112
38,run1,3,9,0.5555555555555556,0.5625,0.675
39,run1,3,10,0.7058823529411765,0.6590909090909092,0.8787878787878787
40,run1,4,1,0.8823529411764706,0.75,0.8846153846153847
41,run1,4,2,0.8333333333333334,0.8035714285714286,0.7142857142857142
42,run1,4,3,0.7222222222222222,0.6875,0.8875
43,run1,4,4,0.8823529411764706,0.8819444444444444,0.8888888888888888
44,run1,4,5,0.8235294117647058,0.8125,0.8333333333333334
45,run1,4,6,0.6,0.5604395604395604,0.40659340659340654
46,run1,4,7,0.8333333333333334,0.8928571428571428,0.9285714285714286
47,run1,4,8,0.6111111111111112,0.5416666666666666,0.5277777777777778
48,run1,4,9,0.6111111111111112,0.625,0.7777777777777778
49,run1,4,10,0.6470588235294118,0.6388888888888888,0.7222222222222222
50,run1,5,1,0.8235294117647058,0.8125,0.7638888888888888
51,run1,5,2,0.8888888888888888,0.9285714285714286,1.0
52,run1,5,3,0.8333333333333334,0.7142857142857143,0.9642857142857143
53,run1,5,4,0.6666666666666666,0.375,0.125
54,run1,5,5,0.7222222222222222,0.7,0.875
55,run1,5,6,0.7058823529411765,0.6944444444444444,0.8055555555555556
56,run1,5,7,0.5263157894736842,0.5222222222222221,0.5888888888888889
57,run1,5,8,0.7222222222222222,0.6875,0.7125
58,run1,5,9,0.6470588235294118,0.6666666666666666,0.8194444444444444
59,run1,5,10,0.7222222222222222,0.725,0.875
60,run1,6,1,0.9444444444444444,0.9583333333333333,0.9722222222222222
61,run1,6,2,0.8823529411764706,0.8583333333333334,0.8166666666666667
62,run1,6,3,0.8333333333333334,0.7142857142857143,0.6428571428571429
63,run1,6,4,0.5882352941176471,0.5902777777777778,0.75
64,run1,6,5,0.47058823529411764,0.4513888888888889,0.4166666666666667
65,run1,6,6,0.5882352941176471,0.5681818181818181,0.6666666666666666
66,run1,6,7,0.55,0.5625,0.7395833333333333
67,run1,6,8,0.9444444444444444,0.9166666666666667,0.9722222222222223
68,run1,6,9,0.7222222222222222,0.7125,0.8375
69,run1,6,10,0.7222222222222222,0.7207792207792207,0.8181818181818182
70,run1,7,1,0.8235294117647058,0.7878787878787878,0.8939393939393939
71,run1,7,2,0.8823529411764706,0.8785714285714286,0.9857142857142858
72,run1,7,3,0.6666666666666666,0.625,0.7875
73,run1,7,4,0.8333333333333334,0.8125,0.875
74,run1,7,5,0.8333333333333334,0.8333333333333334,0.875
75,run1,7,6,0.7222222222222222,0.40625,0.53125
76,run1,7,7,0.7058823529411765,0.7013888888888888,0.6666666666666667
77,run1,7,8,0.55,0.5416666666666667,0.65625
78,run1,7,9,0.6666666666666666,0.65,0.825
79,run1,7,10,0.5294117647058824,0.5416666666666666,0.7361111111111112
80,run1,8,1,0.8333333333333334,0.8375,0.875
81,run1,8,2,0.8333333333333334,0.8035714285714286,0.8928571428571429
82,run1,8,3,0.7777777777777778,0.75,0.8333333333333334
83,run1,8,4,0.6875,0.6587301587301587,0.746031746031746
84,run1,8,5,0.7222222222222222,0.6666666666666667,0.763888888888889
85,run1,8,6,0.8888888888888888,0.9285714285714286,0.8928571428571429
86,run1,8,7,0.7647058823529411,0.6730769230769231,0.7692307692307692
87,run1,8,8,0.5294117647058824,0.5357142857142857,0.6571428571428571
88,run1,8,9,0.5,0.5,0.52
89,run1,8,10,0.7222222222222222,0.7727272727272727,0.8571428571428571
90,run1,9,1,0.6875,0.6904761904761905,0.873015873015873
91,run1,9,2,0.7777777777777778,0.6666666666666666,0.8472222222222223
92,run1,9,3,0.6111111111111112,0.6375,0.8
93,run1,9,4,0.7777777777777778,0.6666666666666666,0.9027777777777778
94,run1,9,5,0.7777777777777778,0.7922077922077921,0.8701298701298701
95,run1,9,6,0.8823529411764706,0.8333333333333333,0.8484848484848484
96,run1,9,7,0.7,0.7,0.69
97,run1,9,8,0.7222222222222222,0.7321428571428572,0.7142857142857142
98,run1,9,9,0.6111111111111112,0.6375,0.8125
99,run1,9,10,0.7647058823529411,0.7596153846153846,0.8653846153846154
100,run2,0,1,0.8333333333333334,0.8375,0.95
101,run2,0,2,0.6111111111111112,0.5875,0.7750000000000001
102,run2,0,3,0.8333333333333334,0.75,0.8611111111111112
103,run2,0,4,0.5882352941176471,0.5428571428571429,0.7285714285714285
104,run2,0,5,0.5294117647058824,0.5192307692307692,0.46153846153846156
105,run2,0,6,0.631578947368421,0.5571428571428572,0.5571428571428572
106,run2,0,7,0.8333333333333334,0.8333333333333333,0.962962962962963
107,run2,0,8,0.6111111111111112,0.625,0.6527777777777777
108,run2,0,9,0.8333333333333334,0.8375,0.8875
109,run2,0,10,0.8823529411764706,0.9230769230769231,0.9230769230769231
110,run2,1,1,0.8235294117647058,0.8636363636363636,0.8787878787878788
111,run2,1,2,0.7222222222222222,0.6948051948051948,0.7792207792207793
112,run2,1,3,0.8888888888888888,0.9,1.0
113,run2,1,4,0.7647058823529411,0.8461538461538461,0.9423076923076923
114,run2,1,5,0.5,0.5,0.59375
115,run2,1,6,0.6666666666666666,0.6666666666666666,0.7500000000000001
116,run2,1,7,0.7222222222222222,0.625,0.6666666666666667
117,run2,1,8,0.6666666666666666,0.6875,0.875
118,run2,1,9,0.5882352941176471,0.5428571428571429,0.7714285714285715
119,run2,1,10,0.8823529411764706,0.9230769230769231,0.9615384615384616
120,run2,2,1,0.7777777777777778,0.6785714285714286,0.6607142857142856
121,run2,2,2,0.7222222222222222,0.7125,0.8875
122,run2,2,3,0.7777777777777778,0.775,0.9125
123,run2,2,4,0.6875,0.6875,0.640625
124,run2,2,5,0.6111111111111112,0.625,0.6944444444444445
125,run2,2,6,0.7777777777777778,0.7230769230769231,0.8615384615384616
126,run2,2,7,0.7058823529411765,0.696969696969697,0.7121212121212122
127,run2,2,8,0.9444444444444444,0.875,0.9464285714285714
128,run2,2,9,0.6666666666666666,0.7083333333333334,0.875
