,seed,movie,accuracy,balanced_accuracy,roc_auc
0,0,two_men,0.6393360853113175,0.5932722832722833,0.6389945394112061
1,1,two_men,0.6759150326797385,0.6245246420246421,0.672908411033411
2,2,two_men,0.6261953904368764,0.6190351315351316,0.686893210955711
3,3,two_men,0.6409477124183007,0.6087842712842714,0.6608167388167389
4,4,two_men,0.594640522875817,0.5826037851037851,0.6796901709401709
5,5,two_men,0.6103543171654626,0.5653472222222222,0.6496428571428571
6,6,two_men,0.6024183006535948,0.5795743145743145,0.6912373737373738
7,7,two_men,0.6468300653594772,0.6124287518037518,0.6787409812409813
8,8,two_men,0.6303349673202614,0.6424671162171162,0.6833865856365857
9,9,two_men,0.7017320261437908,0.6783154345654345,0.728495226995227
10,0,bridgeville,0.6742690058479532,0.6355876068376068,0.7294300298466966
11,1,bridgeville,0.6432352941176471,0.6218906093906094,0.7079956154956154
12,2,bridgeville,0.6911678706570348,0.6516204628704628,0.7219801379176379
13,3,bridgeville,0.6462745098039215,0.6133459595959596,0.6963098845598845
14,4,bridgeville,0.7032352941176472,0.6514774114774114,0.7275061050061049
15,5,bridgeville,0.6569487444100448,0.6154067460317459,0.7404166666666666
16,6,bridgeville,0.6741503267973856,0.6335642135642137,0.7079401154401155
17,7,bridgeville,0.5711437908496733,0.5628796897546897,0.660399531024531
18,8,bridgeville,0.6755718954248365,0.6463793151293151,0.7335160117660118
19,9,bridgeville,0.6641830065359478,0.6199635087135087,0.7322749750249751
20,0,pockets,0.5905400756793946,0.5732554945054945,0.6052374169040836
21,1,pockets,0.5516339869281046,0.5106510156510156,0.5319866244866245
22,2,pockets,0.5735595115239077,0.5480935730935732,0.49581755050505044
23,3,pockets,0.5860457516339869,0.5524332611832611,0.5825021645021644
24,4,pockets,0.5245424836601307,0.5033959096459096,0.5341651404151404
25,5,pockets,0.5614207086343309,0.5144841269841269,0.5104563492063492
26,6,pockets,0.5567320261437909,0.5245292207792208,0.5519056637806636
27,7,pockets,0.5587254901960784,0.5499449855699855,0.5646834415584415
28,8,pockets,0.5551797385620915,0.5529663392163391,0.5611330613830614
29,9,pockets,0.5926470588235294,0.5403572816072816,0.584932178932179
30,0,overcome,0.6540763673890609,0.6235790598290598,0.6318062338895671
31,1,overcome,0.6451633986928106,0.6352788877788879,0.6953097596847597
32,2,overcome,0.6130353457172343,0.5751739926739926,0.6244138153513152
33,3,overcome,0.6631699346405229,0.6473304473304473,0.6772615440115439
34,4,overcome,0.6116339869281047,0.5905204517704518,0.6564575702075702
35,5,overcome,0.6161678706570347,0.6025496031746032,0.70125
36,6,overcome,0.5678758169934639,0.5419300144300145,0.6468858225108225
37,7,overcome,0.6423529411764706,0.6031926406926406,0.6670680014430015
38,8,overcome,0.6212500000000001,0.6041103341103342,0.6581519869019868
39,9,overcome,0.6223611111111109,0.6000387112887113,0.6757977300477301
40,0,inception,0.6792397660818714,0.6672161172161173,0.7003964862298198
41,1,inception,0.6860457516339868,0.6935518648018648,0.700905205905206
42,2,inception,0.6550546095631236,0.6243531468531468,0.6543428099678099
43,3,inception,0.6683006535947713,0.645167748917749,0.6364978354978355
44,4,inception,0.6702287581699348,0.633992673992674,0.6786721611721612
45,5,inception,0.6625042999656003,0.6424305555555556,0.6280357142857143
46,6,inception,0.6338562091503268,0.6302489177489177,0.6920986652236651
47,7,inception,0.6457189542483661,0.6620183982683983,0.7146663059163059
48,8,inception,0.6637745098039216,0.6551408313908315,0.6332619047619048
49,9,inception,0.6569199346405228,0.6541379453879455,0.6786822066822067
50,0,social_net,0.6671826625386997,0.6588003663003663,0.7237815425315426
51,1,social_net,0.6802614379084968,0.6728971028971029,0.7190291652791653
52,2,social_net,0.6691971964224286,0.6611155511155512,0.7043803071928072
53,3,social_net,0.6470588235294119,0.628284632034632,0.6701158008658009
54,4,social_net,0.6841503267973856,0.6696321733821733,0.724600122100122
55,5,social_net,0.7076367389060886,0.7202480158730158,0.7302579365079365
56,6,social_net,0.6684967320261438,0.6724603174603174,0.7086102092352092
