,seed,movie,accuracy,balanced_accuracy,roc_auc
0,0,two_men,0.6909356725146198,0.6542506105006105,0.7507536290869624
1,1,two_men,0.7044444444444445,0.7130956543456544,0.8126209901209901
2,2,two_men,0.6849587203302373,0.6375807525807525,0.7058845668220668
3,3,two_men,0.6691503267973856,0.6376948051948051,0.7449430014430014
4,4,two_men,0.71859477124183,0.6693971306471307,0.7477869352869353
5,5,two_men,0.6683522531819744,0.6575595238095238,0.767172619047619
6,6,two_men,0.7133660130718955,0.6929455266955267,0.7888952020202019
7,7,two_men,0.7219934640522876,0.7045896464646464,0.7263924963924964
8,8,two_men,0.7084885620915032,0.7195847208347208,0.7782125097125097
9,9,two_men,0.6680718954248366,0.647954267954268,0.7507141192141191
10,0,bridgeville,0.6967148262813898,0.6891773504273504,0.7217545109211776
11,1,bridgeville,0.7214379084967321,0.6979216616716617,0.7382788045288045
12,2,bridgeville,0.708236584107327,0.6913823676323677,0.7253519397269397
13,3,bridgeville,0.7008823529411765,0.6759704184704185,0.7493376623376624
14,4,bridgeville,0.6870261437908497,0.665242673992674,0.7364453601953602
15,5,bridgeville,0.6837805297557619,0.6559623015873017,0.6821031746031745
16,6,bridgeville,0.6456209150326797,0.6136417748917748,0.6721176046176047
17,7,bridgeville,0.6678104575163398,0.6528950216450218,0.7254906204906204
18,8,bridgeville,0.6714950980392157,0.6613096625596625,0.7336238206238206
19,9,bridgeville,0.6876143790849673,0.6699839049839049,0.7555064102564102
20,0,pockets,0.6640350877192983,0.6459310134310134,0.6917420465337133
21,1,pockets,0.6718954248366014,0.6468648018648018,0.6738647463647464
22,2,pockets,0.6644908840729273,0.6440280552780553,0.6758422133422133
23,3,pockets,0.6655555555555556,0.6362680375180375,0.6843953823953823
24,4,pockets,0.643267973856209,0.6349618437118436,0.6507799145299146
25,5,pockets,0.6421396628826969,0.6002380952380951,0.6582440476190475
26,6,pockets,0.6459477124183006,0.5969083694083693,0.6173692279942281
27,7,pockets,0.6261764705882352,0.6114763708513709,0.6970310245310245
28,8,pockets,0.6296323529411765,0.5969687257187257,0.6779439449439448
29,9,pockets,0.6592728758169935,0.6228832278832279,0.6825493117993118
