,seed,movie,accuracy,balanced_accuracy,roc_auc
0,0,run1,0.7255761953904368,0.6959279609279609,0.7775997150997151
1,1,run1,0.748562091503268,0.7327967865467866,0.7937723387723387
2,2,run1,0.7294784141726867,0.724873876123876,0.7821208305583307
3,3,run1,0.7563071895424835,0.7297781385281386,0.7906367243867245
4,4,run1,0.744640522875817,0.7194368131868132,0.7571565934065935
5,5,run1,0.7258341933264534,0.6826190476190476,0.7529563492063492
6,6,run1,0.7246078431372549,0.7053246753246754,0.763256673881674
7,7,run1,0.7213398692810458,0.6778255772005772,0.7832431457431458
8,8,run1,0.7259395424836601,0.7126558164058164,0.7807484737484738
9,9,run1,0.731233660130719,0.711610889110889,0.8223800921300922
10,0,run2,0.7187134502923976,0.7013141025641025,0.7759681522181523
11,1,run2,0.722549019607843,0.7249696137196138,0.821870004995005
12,2,run2,0.7460633814929482,0.7283087745587745,0.8031781066156066
13,3,run2,0.713202614379085,0.7030717893217894,0.7629336219336219
14,4,run2,0.6968627450980391,0.7023153235653236,0.7977899877899878
15,5,run2,0.6984176126590989,0.6654067460317459,0.7514484126984127
16,6,run2,0.7134640522875817,0.6815999278499278,0.7624594155844155
17,7,run2,0.7087908496732027,0.7193217893217894,0.7935317460317461
18,8,run2,0.7021078431372549,0.7094308469308469,0.794697052947053
19,9,run2,0.7220588235294119,0.7197614885114885,0.7933188478188478
20,0,run3,0.7026659786721707,0.6818177655677655,0.7428632478632479
21,1,run3,0.6516993464052288,0.651439393939394,0.7135870379620382
22,2,run3,0.710094169246646,0.6928621378621378,0.7045274864024864
23,3,run3,0.6248366013071897,0.6011832611832612,0.6930407647907647
24,4,run3,0.663921568627451,0.6399893162393162,0.7181517094017094
25,5,run3,0.6680598555211559,0.6300694444444445,0.7088888888888888
26,6,run3,0.6634640522875818,0.6513167388167387,0.7488645382395382
27,7,run3,0.6783660130718954,0.6688952020202019,0.7292036435786435
28,8,run3,0.6360866013071895,0.6192791930291931,0.6867990897990899
29,9,run3,0.6804330065359478,0.65264208014208,0.7406986069486068
30,0,run4,0.7239422084623323,0.712002442002442,0.8294156152489485
31,1,run4,0.7603267973856209,0.7453117715617715,0.7970890220890221
32,2,run4,0.7006385448916409,0.6784373959373959,0.7255615564990565
33,3,run4,0.7245751633986928,0.696141774891775,0.7868766233766235
34,4,run4,0.7189215686274509,0.7089560439560441,0.7983745421245423
35,5,run4,0.7118851049191607,0.6900496031746033,0.7726984126984127
36,6,run4,0.752124183006536,0.7389592352092352,0.7790151515151515
37,7,run4,0.7406862745098038,0.7481195887445888,0.7955113636363637
38,8,run4,0.7650735294117649,0.7526329226329227,0.8117612387612387
39,9,run4,0.7356209150326798,0.6995966533466534,0.8135970418470417
