,mtest,seed,balanced_accuracy,roc_auc
0,two_men,0,0.5148778998778999,0.5969212115045448
1,two_men,1,0.549461371961372,0.6072938172938173
2,two_men,2,0.5480219780219779,0.5885357004107005
3,two_men,3,0.5657882395382395,0.6153084415584417
4,two_men,4,0.5455769230769232,0.6012988400488399
5,two_men,5,0.5757142857142857,0.6056051587301587
6,two_men,6,0.5320508658008658,0.6187581168831169
7,two_men,7,0.5634731240981241,0.6060227272727273
8,two_men,8,0.6113152125652126,0.6351556499056499
9,two_men,9,0.5679918692418692,0.5905539183039183
10,bridgeville,0,0.5892750305250305,0.6558029778863113
11,bridgeville,1,0.6446607559107559,0.6717992424242425
12,bridgeville,2,0.6297802197802197,0.655758755133755
13,bridgeville,3,0.6104310966810966,0.6765468975468976
14,bridgeville,4,0.604957264957265,0.6295467032967033
15,bridgeville,5,0.5950099206349206,0.611031746031746
16,bridgeville,6,0.5929184704184703,0.6454689754689755
17,bridgeville,7,0.5893939393939392,0.6358946608946608
18,bridgeville,8,0.5773976023976024,0.5997706182706183
19,bridgeville,9,0.5819595682095684,0.6746766566766567
20,pockets,0,0.572767094017094,0.6108751356668023
21,pockets,1,0.6088503163503163,0.6390999972249973
22,pockets,2,0.544474691974692,0.5842717005217006
23,pockets,3,0.6005916305916306,0.6048769841269841
24,pockets,4,0.5918681318681319,0.6072130647130647
25,pockets,5,0.5754662698412698,0.601170634920635
26,pockets,6,0.5925450937950939,0.6270725108225108
27,pockets,7,0.5607711038961039,0.5934920634920634
28,pockets,8,0.553020868020868,0.6007691752691753
29,pockets,9,0.5561767399267399,0.5985713730713732
30,overcome,0,0.6246703296703296,0.6218255664088997
31,overcome,1,0.5748297535797536,0.6337362637362637
32,overcome,2,0.6071507659007658,0.6230466061716061
33,overcome,3,0.5874567099567101,0.625541847041847
34,overcome,4,0.6038141025641025,0.6434981684981685
35,overcome,5,0.586626984126984,0.6226686507936509
36,overcome,6,0.576576479076479,0.628263888888889
37,overcome,7,0.6169489538239539,0.6275198412698413
38,overcome,8,0.5975026362526362,0.646638777888778
39,overcome,9,0.5951029526029525,0.6525396270396271
40,inception,0,0.5822054334554334,0.6356308506308508
41,inception,1,0.5854895104895104,0.6232364857364857
42,inception,2,0.5996370296370296,0.6169494741369741
43,inception,3,0.5697943722943722,0.6213722943722944
44,inception,4,0.5882768620268621,0.65625
45,inception,5,0.5606051587301586,0.5903075396825397
46,inception,6,0.5728427128427128,0.6165169552669553
47,inception,7,0.5659478715728715,0.6084235209235208
48,inception,8,0.5576871739371738,0.6260000277500277
49,inception,9,0.6130917693417695,0.6334281274281275
50,social_net,0,0.608907203907204,0.6461709740876407
51,social_net,1,0.6170342157842157,0.6739930902430903
52,social_net,2,0.5937874625374626,0.6600673631923633
53,social_net,3,0.5573538961038962,0.6543383838383839
54,social_net,4,0.6183333333333334,0.6976739926739925
55,social_net,5,0.6011507936507937,0.6799503968253967
56,social_net,6,0.5967316017316018,0.6611534992784993
57,social_net,7,0.5851461038961039,0.6246636002886004
58,social_net,8,0.6174551837051837,0.6646224608724608
59,social_net,9,0.6049148074148074,0.696979575979576
60,oceans_11,0,0.6137454212454212,0.6685614231447564
61,oceans_11,1,0.5957992007992009,0.665857683982684
62,oceans_11,2,0.5985422910422911,0.6473273601398601
63,oceans_11,3,0.6318975468975468,0.6342132034632034
64,oceans_11,4,0.6172588522588522,0.6810241147741147
65,oceans_11,5,0.5240376984126984,0.6129563492063492
66,oceans_11,6,0.5627777777777777,0.6417487373737373
67,oceans_11,7,0.5838068181818183,0.6275712481962482
68,oceans_11,8,0.5890195915195916,0.6102446719946719
69,oceans_11,9,0.5831443556443557,0.6236503774003774
70,flower,0,0.5823565323565324,0.6469844661511328
71,flower,1,0.6047177822177822,0.6807847014097014
72,flower,2,0.5997548285048285,0.6604300907425907
73,flower,3,0.557361111111111,0.6515068542568543
74,flower,4,0.6113522588522589,0.6588980463980465
75,flower,5,0.574890873015873,0.6567857142857143
76,flower,6,0.6161399711399712,0.6745923520923521
77,flower,7,0.5908793290043289,0.632616341991342
78,flower,8,0.609439171939172,0.6948838661338661
79,flower,9,0.5778944666444666,0.6691834554334554
80,hotel,0,0.5023656898656899,0.562559184642518
81,hotel,1,0.5212691475191475,0.5406059218559218
82,hotel,2,0.4972127872127873,0.49749309718059714
83,hotel,3,0.5267821067821069,0.5806919191919194
84,hotel,4,0.5627106227106228,0.6214529914529916
85,hotel,5,0.5224503968253968,0.5830456349206348
86,hotel,6,0.4952453102453103,0.5420959595959596
87,hotel,7,0.5627985209235209,0.5939087301587301
88,hotel,8,0.5069007381507381,0.5403553668553668
89,hotel,9,0.5418206793206793,0.5828745698745699
90,garden,0,0.6242231379731379,0.7268696581196581
91,garden,1,0.6814085914085914,0.724547188922189
92,garden,2,0.6496898934398935,0.7298037726162727
93,garden,3,0.6288636363636363,0.6999054834054834
94,garden,4,0.6490018315018314,0.7268406593406593
95,garden,5,0.6100595238095238,0.706220238095238
96,garden,6,0.6900288600288601,0.7525234487734487
97,garden,7,0.6512824675324677,0.7171843434343435
98,garden,8,0.6430648518148518,0.7081273726273726
99,garden,9,0.5927532190032191,0.6528187645687646
100,dreary,0,0.5522313797313797,0.566133665716999
101,dreary,1,0.5423859473859474,0.5820528776778777
102,dreary,2,0.5223934398934398,0.5334240412365412
103,dreary,3,0.4941955266955267,0.5309285714285714
104,dreary,4,0.5484340659340659,0.6021474358974359
105,dreary,5,0.5257837301587303,0.5498611111111111
106,dreary,6,0.5836598124098125,0.5423737373737373
107,dreary,7,0.5275315656565656,0.5606195887445887
108,dreary,8,0.5151003163503164,0.5790502275502275
109,dreary,9,0.5188747363747364,0.5163189310689311
110,home_alone,0,0.5566819291819292,0.6471248812915479
111,home_alone,1,0.548131451881452,0.6732412726162726
112,home_alone,2,0.5497914585414585,0.6368545343545343
113,home_alone,3,0.5641829004329005,0.6746298701298702
114,home_alone,4,0.5784981684981686,0.6582997557997559
115,home_alone,5,0.5710218253968254,0.6184027777777776
116,home_alone,6,0.5739808802308802,0.6212310606060606
117,home_alone,7,0.5737626262626263,0.6679834054834054
118,home_alone,8,0.5618555056055057,0.6827576035076034
119,home_alone,9,0.5494516594516595,0.6356239038739038
120,brokovich,0,0.6976648351648351,0.7424698141364808
121,brokovich,1,0.6953417415917416,0.7580615218115219
122,brokovich,2,0.6752905427905428,0.7413736957486958
123,brokovich,3,0.7042424242424242,0.7885739538239538
124,brokovich,4,0.7080830280830281,0.7860088522588524
125,brokovich,5,0.6496130952380953,0.7380456349206348
126,brokovich,6,0.7060209235209236,0.7793136724386724
127,brokovich,7,0.6925324675324676,0.7459126984126984
128,brokovich,8,0.6973462648462647,0.7574866244866245
129,brokovich,9,0.6818154068154069,0.7657045177045176
130,star_wars,0,0.5738553113553114,0.6371884751051418
131,star_wars,1,0.5482979520479521,0.6001344488844489
132,star_wars,2,0.5736538461538462,0.6177672674547676
133,star_wars,3,0.5508874458874458,0.6063190836940836
134,star_wars,4,0.5935989010989011,0.5828418803418803
135,star_wars,5,0.5269642857142857,0.5585515873015874
136,star_wars,6,0.5333964646464646,0.5695526695526695
137,star_wars,7,0.5214799783549784,0.5814042207792207
138,star_wars,8,0.6121930846930846,0.6370181207681207
139,star_wars,9,0.5692750305250305,0.6310991785991786
